rank,name,customer,problem,product,price_gbp,primary_keyword,secondary_keywords,format,production_time,cross_sell,bundle,priority
1,UK Sole Trader Bookkeeping + Self Assessment Tracker 2026/27,UK sole traders,tax records dread + MTD records duty,Ledger engine full build: HMRC categories + dashboards + SA box map + set-aside estimator + mileage,16.99,bookkeeping spreadsheet uk,"self assessment spreadsheet; sole trader accounts; hmrc bookkeeping; self employed tax tracker",Google Sheets + Excel + PDF guide + video,2-3 days,Tax Estimator; Mileage Log,Self-Employed Starter,1
2,Self Assessment Tax Estimator,UK self employed,"what do I owe, what do I set aside",Estimator with explicit assumptions + set-aside tracker,9.99,uk self assessment tax calculator,"tax set aside calculator; self employed tax estimate; hmrc tax spreadsheet",Sheets + Excel,1-2 days,Flagship bookkeeping,Self-Employed Starter,1
3,HMRC Mileage Log,All UK self employed,claimable mileage lost,Mileage log at HMRC rates + summary for tax return,4.99,mileage log uk,"hmrc mileage claim; business mileage tracker; self employed mileage",Sheets + Excel,0.5 day,Flagship bookkeeping,Self-Employed Starter,1
4,Freelancer Bookkeeping + Invoice Tracker UK,UK freelancers,money + invoices scattered,Ledger engine skin + invoice register + late-payment view,14.99,freelance income tracker,"freelancer bookkeeping; invoice tracker; self employed spreadsheet uk",Sheets + Excel,1 day,CRM; Tax Estimator,Freelancer Pack,1
5,Simple CRM + Follow-up Engine,solo sellers/freelancers,leads slip through,Client engine full build: pipeline + today view + follow-up log + win analytics,14.99,lead tracker,"crm spreadsheet; client tracker; sales pipeline google sheets; follow up tracker",Sheets + Excel,2 days,Invoice tracker,Freelancer Pack,1
6,Cleaning Business Kit,cleaning businesses,no back office,Quote calculator + job & payment tracker + money ledger + price list + invoice,12.99,cleaning business spreadsheet,"cleaning business invoice; cleaning quote template; cleaner bookkeeping",Sheets + Excel,2 days,Mileage Log,Run Your Trade,1
7,Invoice Tracker + Late Payment Chase System,all small businesses,unpaid invoices,Invoice register + aging view + chase-sequence templates (email scripts),9.99,unpaid invoice tracker,"invoice tracker small business; late payment reminder; money owed tracker",Sheets + Excel + docs,1 day,CRM,any trade bundle,2
8,Salon Client Cards + Income Tracker,salon/beauty pros,client records + rebooking + money,Client engine skin (service history) + income ledger,12.99,salon client tracker,"hairdresser client cards; nail tech client record; salon bookkeeping",Sheets + Excel,1 day,Price list,Run Your Trade,2
9,Dog Groomer Client + Booking + Income Kit,dog groomers,paper records chaos,Client engine skin (pet records + vaccination dates) + booking + money,12.99,dog groomer client record,"dog grooming business forms; groomer booking tracker; pet groomer spreadsheet",Sheets + Excel,1 day,Mileage Log,Run Your Trade,2
10,Self-Employed Starter Bundle,UK sole traders,everything for year one,Products 1+2+3 bundled,24.99,self employed starter kit,"sole trader bundle; going self employed; new business spreadsheet kit",Sheets + Excel,0.5 day,CRM upsell,n/a,1
11,Trades Job Sheet + Quote + Invoice Kit,handymen/decorators,quoting + jobs + getting paid,Quote calc + job sheets + invoice + money ledger,12.99,job sheet template,"handyman invoice; decorator quote template; trades bookkeeping",Sheets + Excel,1 day,Mileage Log,Run Your Trade,2
12,Day Rate + Job Pricing Calculator UK,service businesses,undercharging,Rate builder: costs + utilisation + margin floor + quote outputs,8.99,day rate calculator uk,"pricing calculator small business; hourly rate calculator; job costing",Sheets + Excel,1 day,Any trade kit,Run Your Trade,2
13,Gardening Business Kit,gardeners,no back office,Cleaning kit clone: gardening fields + seasonal job planner,12.99,gardening business spreadsheet,"gardener invoice; lawn care business forms; landscaping quote template",Sheets + Excel,1 day,Mileage Log,Run Your Trade,2
14,Reseller Profit + Tax Threshold Tracker,Vinted/eBay/Depop sellers,HMRC reporting anxiety,COGS + platform fees + profit + trading-allowance threshold monitor,9.99,vinted seller tracker,"ebay reseller spreadsheet; reseller inventory; side hustle tax uk",Sheets + Excel,1-2 days,Tax Estimator,Reseller Pack,2
15,UK Landlord Income & Expense Tracker,UK landlords,MTD + Section 24 + certificates,Ledger engine per-property skin + yields + certificate dates + SA property pages map,19.99,landlord spreadsheet uk,"rental income tracker; property expense spreadsheet; buy to let records",Sheets + Excel,3 days,Tax Estimator,Landlord Pack,2
16,Etsy Seller Bookkeeping UK Edition,UK Etsy sellers,fees + tax year mismatch in US templates,Ledger engine skin mapped to Etsy UK fee stack + tax year,14.99,etsy seller bookkeeping uk,"etsy bookkeeping spreadsheet; etsy fee tracker; etsy profit calculator",Sheets + Excel,1-2 days,Pricing calculator,Seller Pack,3
17,Craft Fair + Market Trader Money Kit,market traders,cash takings chaos,Takings + float + stock + pitch-fee profitability per event,9.99,craft fair spreadsheet,"market trader records; craft stall pricing; event takings tracker",Sheets + Excel,1 day,Reseller tracker,Seller Pack,3
18,Run Your Trade Bundle,service trades,whole back office,Trade kit + invoice chase + day-rate calculator + mileage,29.99,cleaning business bundle,"trade business kit; small business starter spreadsheets",Sheets + Excel,0.5 day,CRM upsell,n/a,2
19,Recruiter Candidate Pipeline Tracker,solo recruiters,candidate + client pipeline,Client engine skin: roles pipeline + candidate stages + placements,14.99,recruitment tracker spreadsheet,"candidate tracker; recruiter crm; placements tracker",Sheets + Excel,1 day,Commission calculator,Sales Pack,3
20,Commission Calculator + Tracker,sales reps,commission opacity,Plan modelling + attainment + payout verification,9.99,commission tracker,"commission calculator excel; sales commission spreadsheet; ote calculator",Sheets + Excel,1 day,CRM,Sales Pack,3
